model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse,calc_preference_recall,calc_indifference_recall,calc_preference_precision,calc_indifference_precision,calc_precision_total
L1,game,1e-05,0.01,0.857566765578635,0.9174603174603174,0.32515337423312884,0.7066666666666667,0.684,326,674,106,220,578,52,44,0.857566765578635,0.32515337423312884,0.68,0.7066666666666667,0.684
L1,game,1e-05,1e-05,0.8502269288956127,1.0,0.0,0.0,0.562,339,661,0,339,562,0,99,0.8502269288956127,0.0,0.6237513873473918,0.0,0.562
L1,game,1e-05,1e-08,0.8529411764705882,1.0,0.0,0.0,0.638,252,748,0,252,638,0,110,0.8529411764705882,0.0,0.7168539325842697,0.0,0.638
L2,game,1e-05,0.01,0.8915343915343915,0.8915343915343915,0.3524590163934426,1.0,0.76,244,756,86,158,674,82,0,0.8915343915343915,0.3524590163934426,0.737417943107221,1.0,0.76
L2,game,1e-05,0.1,0.8270571827057183,0.8270571827057183,0.6855123674911661,1.0,0.787,283,717,194,89,593,124,0,0.8270571827057183,0.6855123674911661,0.7357320099255583,1.0,0.787
L2,game,1e-05,1e-05,0.9423631123919308,1.0,0.0,0.0,0.654,306,694,0,306,654,0,40,0.9423631123919308,0.0,0.68125,0.0,0.654
L2,game,1e-05,1e-08,0.9172821270310192,1.0,0.0,0.0,0.621,323,677,0,323,621,0,56,0.9172821270310192,0.0,0.6578389830508474,0.0,0.621
L1,game,1e-05,0.1,0.7361963190184049,0.7418856259659969,0.8247126436781609,0.9828767123287672,0.767,348,652,287,61,480,167,5,0.7361963190184049,0.8247126436781609,0.6779661016949152,0.9828767123287672,0.767
L1,game,1e-05,0.01,0.8427586206896551,0.9065281899109793,0.28363636363636363,0.6046511627906976,0.689,275,725,78,197,611,63,51,0.8427586206896551,0.28363636363636363,0.7014925373134329,0.6046511627906976,0.689
L1,game,1e-05,1e-05,0.8881019830028328,1.0,0.0,0.0,0.627,294,706,0,294,627,0,79,0.8881019830028328,0.0,0.6807817589576547,0.0,0.627
L1,game,1e-05,1e-08,0.8542568542568543,1.0,0.0,0.0,0.592,307,693,0,307,592,0,101,0.8542568542568543,0.0,0.6585094549499444,0.0,0.592
L2,game,1e-05,0.1,0.8567454798331016,0.8567454798331016,0.797153024911032,1.0,0.84,281,719,224,57,616,103,0,0.8567454798331016,0.797153024911032,0.7938144329896907,1.0,0.84
L2,game,1e-05,0.01,0.896978021978022,0.896978021978022,0.3860294117647059,1.0,0.758,272,728,105,167,653,75,0,0.896978021978022,0.3860294117647059,0.729608938547486,1.0,0.758
L2,game,1e-05,1e-05,0.8757062146892656,0.998389694041868,0.0136986301369863,0.04395604395604396,0.624,292,708,4,288,620,1,87,0.8757062146892656,0.0136986301369863,0.682068206820682,0.04395604395604396,0.624
L2,game,1e-05,1e-08,0.906084656084656,1.0,0.0,0.0,0.685,244,756,0,244,685,0,71,0.906084656084656,0.0,0.7373519913885899,0.0,0.685
L1,game,1e-05,0.1,0.7610966057441253,0.7691292875989446,0.8076923076923077,0.9593908629441624,0.772,234,766,189,45,583,175,8,0.7610966057441253,0.8076923076923077,0.726027397260274,0.9593908629441624,0.772
L1,game,1e-05,0.01,0.86,0.9162861491628614,0.3,0.6766917293233082,0.692,300,700,90,210,602,55,43,0.86,0.3,0.6943483275663207,0.6766917293233082,0.692
L1,game,1e-05,1e-05,0.8378378378378378,1.0,0.0,0.0,0.558,334,666,0,334,558,0,108,0.8378378378378378,0.0,0.625560538116592,0.0,0.558
L1,game,1e-05,1e-08,0.8708751793400287,1.0,0.0,0.0,0.607,303,697,0,303,607,0,90,0.8708751793400287,0.0,0.667032967032967,0.0,0.607
L2,game,1e-05,0.1,0.8667582417582418,0.8667582417582418,0.7242647058823529,1.0,0.828,272,728,197,75,631,97,0,0.8667582417582418,0.7242647058823529,0.7858032378580324,1.0,0.828
L2,game,1e-05,0.01,0.8738461538461538,0.8738461538461538,0.38285714285714284,1.0,0.702,350,650,134,216,568,82,0,0.8738461538461538,0.38285714285714284,0.6558891454965358,1.0,0.702
