model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse
L2,game,1e-05,1e-10,0.9393103448275862,1.0,0.0,0.0,0.681,275,725,0,275,681,0,44
L2,game,1e-05,1e-12,0.8959881129271917,1.0,0.0,0.0,0.603,327,673,0,327,603,0,70
L1,game,1e-05,1e-10,0.8888888888888888,1.0,0.0,0.0,0.648,271,729,0,271,648,0,81
L1,game,1e-05,1e-12,0.8920377867746289,1.0,0.0,0.0,0.661,259,741,0,259,661,0,80
L2,game,1e-05,1e-15,0.9357923497267759,1.0,0.0,0.0,0.685,268,732,0,268,685,0,47
L1,game,1e-05,1e-15,0.8812154696132597,1.0,0.0,0.0,0.638,276,724,0,276,638,0,86
L2,game,1e-05,1e-10,0.8273273273273273,1.0,0.0,0.0,0.551,334,666,0,334,551,0,115
L2,game,1e-05,1e-12,0.8637015781922525,1.0,0.0,0.0,0.602,303,697,0,303,602,0,95
L1,game,1e-05,1e-10,0.8579234972677595,1.0,0.0,0.0,0.628,268,732,0,268,628,0,104
L1,game,1e-05,1e-12,0.8163558106169297,1.0,0.0,0.0,0.569,303,697,0,303,569,0,128
L2,game,1e-05,1e-15,0.8726207906295754,1.0,0.0,0.0,0.596,317,683,0,317,596,0,87
L2,game,1e-05,1e-10,0.9104938271604939,1.0,0.0,0.0,0.59,352,648,0,352,590,0,58
L2,game,1e-05,1e-12,0.9055649241146712,1.0,0.0,0.0,0.537,407,593,0,407,537,0,56
L1,game,1e-05,1e-15,0.89280868385346,1.0,0.0,0.0,0.658,263,737,0,263,658,0,79
L1,game,1e-05,1e-10,0.878140703517588,1.0,0.0,0.0,0.699,204,796,0,204,699,0,97
L1,game,1e-05,1e-12,0.8679504814305364,1.0,0.0,0.0,0.631,273,727,0,273,631,0,96
L2,game,1e-05,1e-15,0.9433681073025335,1.0,0.0,0.0,0.633,329,671,0,329,633,0,38
L2,game,1e-05,1e-10,0.9156626506024096,1.0,0.0,0.0,0.684,253,747,0,253,684,0,63
L2,game,1e-05,1e-12,0.933240611961057,1.0,0.0,0.0,0.671,281,719,0,281,671,0,48
L1,game,1e-05,1e-15,0.8740849194729137,1.0,0.0,0.0,0.597,317,683,0,317,597,0,86
L1,game,1e-05,1e-10,0.8590425531914894,1.0,0.0,0.0,0.646,248,752,0,248,646,0,106
L2,game,1e-05,1e-15,0.8918495297805643,1.0,0.0,0.0,0.569,362,638,0,362,569,0,69
L1,game,1e-05,1e-12,0.868421052631579,1.0,0.0,0.0,0.594,316,684,0,316,594,0,90
L2,game,1e-05,1e-10,0.8762589928057554,1.0,0.0,0.0,0.609,305,695,0,305,609,0,86
L2,game,1e-05,1e-12,0.8627167630057804,1.0,0.0,0.0,0.597,308,692,0,308,597,0,95
L1,game,1e-05,1e-15,0.9014844804318488,1.0,0.0,0.0,0.668,259,741,0,259,668,0,73
